Time,Voltage,
0.01394,-70.1436,
0.01396,-70.0023,
0.01398,-69.8597,
0.014,-69.7154,
0.01402,-69.5693,
0.01404,-69.4211,
0.01406,-69.2704,
0.01408,-69.117,
0.0141,-68.9607,
0.01412,-68.8013,
0.01414,-68.6387,
0.01416,-68.4731,
0.01418,-68.3047,
0.0142,-68.1337,
0.01422,-67.9609,
0.01424,-67.7867,
0.01426,-67.612,
0.01428,-67.4375,
0.0143,-67.264,
0.01432,-67.0922,
0.01434,-66.9225,
0.01436,-66.7555,
0.01438,-66.5911,
0.0144,-66.4296,
0.01442,-66.2708,
0.01444,-66.1144,
0.01446,-65.9601,
0.01448,-65.8075,
0.0145,-65.6562,
0.01452,-65.5059,
0.01454,-65.3563,
0.01456,-65.2073,
0.01458,-65.0586,
0.0146,-64.9103,
0.01462,-64.7624,
0.01464,-64.615,
0.01466,-64.4682,
0.01468,-64.3221,
0.0147,-64.1769,
0.01472,-64.0327,
0.01474,-63.8899,
0.01476,-63.7485,
0.01478,-63.6089,
0.0148,-63.4711,
0.01482,-63.3356,
0.01484,-63.2025,
0.01486,-63.0718,
0.01488,-62.9436,
0.0149,-62.8179,
0.01492,-62.6944,
0.01494,-62.5729,
0.01496,-62.453,
0.01498,-62.3341,
0.015,-62.2158,
0.01502,-62.0975,
0.01504,-61.9786,
0.01506,-61.8589,
0.01508,-61.7379,
0.0151,-61.6157,
0.01512,-61.4923,
0.01514,-61.3678,
0.01516,-61.2428,
0.01518,-61.1177,
0.0152,-60.9931,
0.01522,-60.8699,
0.01524,-60.7485,
0.01526,-60.6296,
0.01528,-60.5137,
0.0153,-60.4011,
0.01532,-60.292,
0.01534,-60.1865,
0.01536,-60.0844,
0.01538,-59.9854,
0.0154,-59.8892,
0.01542,-59.7952,
0.01544,-59.703,
0.01546,-59.6118,
0.01548,-59.5213,
0.0155,-59.4307,
0.01552,-59.3399,
0.01554,-59.2484,
0.01556,-59.1562,
0.01558,-59.0631,
0.0156,-58.9695,
0.01562,-58.8757,
0.01564,-58.7821,
0.01566,-58.6894,
0.01568,-58.5982,
0.0157,-58.5091,
0.01572,-58.4225,
0.01574,-58.3391,
0.01576,-58.259,
0.01578,-58.1821,
0.0158,-58.1085,
0.01582,-58.0377,
0.01584,-57.9693,
0.01586,-57.903,
0.01588,-57.8382,
0.0159,-57.7748,
0.01592,-57.7125,
0.01594,-57.6516,
0.01596,-57.5923,
0.01598,-57.5351,
0.016,-57.4805,
0.01602,-57.429,
0.01604,-57.3811,
0.01606,-57.3371,
0.01608,-57.2969,
0.0161,-57.2604,
0.01612,-57.227,
0.01614,-57.196,
0.01616,-57.1666,
0.01618,-57.1378,
0.0162,-57.109,
0.01622,-57.0796,
0.01624,-57.0492,
0.01626,-57.018,
0.01628,-56.9864,
0.0163,-56.955,
0.01632,-56.9248,
0.01634,-56.8968,
0.01636,-56.8721,
0.01638,-56.8517,
0.0164,-56.8362,
0.01642,-56.8261,
0.01644,-56.8213,
0.01646,-56.8215,
0.01648,-56.8261,
0.0165,-56.8341,
0.01652,-56.8446,
0.01654,-56.8563,
0.01656,-56.8683,
0.01658,-56.8797,
0.0166,-56.8898,
0.01662,-56.898,
0.01664,-56.9043,
0.01666,-56.9086,
0.01668,-56.911,
0.0167,-56.9119,
0.01672,-56.9116,
0.01674,-56.9106,
0.01676,-56.9092,
0.01678,-56.9077,
0.0168,-56.9064,
0.01682,-56.9055,
0.01684,-56.9051,
0.01686,-56.9054,
0.01688,-56.9064,
0.0169,-56.9082,
0.01692,-56.9108,
0.01694,-56.9144,
0.01696,-56.9192,
0.01698,-56.9253,
0.017,-56.9328,
0.01702,-56.9421,
