Time,Voltage,Raw_Voltage
0.00416,-77.6685,-77.6184
0.00418,-77.6681,-77.6184
0.0042,-77.6695,-77.681
0.00422,-77.6725,-77.6184
0.00424,-77.6771,-77.7123
0.00426,-77.6825,-77.681
0.00428,-77.6886,-77.681
0.0043,-77.6945,-77.6184
0.00432,-77.6996,-77.8061
0.00434,-77.7035,-77.7748
0.00436,-77.7056,-77.7436
0.00438,-77.7058,-77.6184
0.0044,-77.7039,-77.7123
0.00442,-77.7002,-77.681
0.00444,-77.695,-77.7123
0.00446,-77.6888,-77.6497
0.00448,-77.6822,-77.6497
0.0045,-77.6758,-77.6497
0.00452,-77.6704,-77.7123
0.00454,-77.6663,-77.7123
0.00456,-77.664,-77.681
0.00458,-77.6638,-77.7123
0.0046,-77.6657,-77.6184
0.00462,-77.6698,-77.5871
0.00464,-77.6757,-77.7123
0.00466,-77.6832,-77.6497
0.00468,-77.6919,-77.681
0.0047,-77.7013,-77.7436
0.00472,-77.7111,-77.7748
0.00474,-77.7208,-77.7123
0.00476,-77.7299,-77.7436
0.00478,-77.7381,-77.7123
0.0048,-77.745,-77.681
0.00482,-77.7503,-77.7748
0.00484,-77.7537,-77.7748
0.00486,-77.7551,-77.8061
0.00488,-77.7543,-77.681
0.0049,-77.7514,-77.681
0.00492,-77.7466,-77.7123
0.00494,-77.7401,-77.8687
0.00496,-77.7325,-77.7123
0.00498,-77.7244,-77.7436
0.005,-77.7165,-77.7748
0.00502,-77.7097,-77.7123
0.00504,-77.7047,-77.6497
0.00506,-77.7023,-77.681
0.00508,-77.7031,-77.7123
0.0051,-77.7076,-77.681
0.00512,-77.7158,-77.7123
0.00514,-77.7276,-77.7748
0.00516,-77.7426,-77.7436
0.00518,-77.7599,-77.7123
0.0052,-77.7787,-77.7436
0.00522,-77.7979,-77.8061
0.00524,-77.8165,-77.9313
0.00526,-77.8333,-77.7748
0.00528,-77.8478,-77.8061
0.0053,-77.8591,-77.9
0.00532,-77.8672,-77.9
0.00534,-77.872,-77.8374
0.00536,-77.8738,-77.8061
0.00538,-77.8734,-77.9
0.0054,-77.8714,-77.9313
0.00542,-77.8687,-77.9938
0.00544,-77.8662,-77.8061
0.00546,-77.8645,-77.8374
0.00548,-77.8642,-77.7436
0.0055,-77.8655,-77.8374
0.00552,-77.8687,-77.9313
0.00554,-77.8735,-77.8374
0.00556,-77.8795,-77.9
0.00558,-77.8864,-77.8687
0.0056,-77.8934,-77.9625
0.00562,-77.9003,-77.9313
0.00564,-77.9064,-77.9
0.00566,-77.9117,-77.9
0.00568,-77.9159,-77.9313
0.0057,-77.919,-77.9
0.00572,-77.9212,-77.9313
0.00574,-77.9228,-77.9625
0.00576,-77.9239,-77.9
0.00578,-77.9249,-77.8374
0.0058,-77.926,-77.9
0.00582,-77.9273,-77.9938
0.00584,-77.9288,-77.9
0.00586,-77.9304,-77.8687
0.00588,-77.932,-78.0251
0.0059,-77.9333,-77.9
0.00592,-77.9342,-78.0251
0.00594,-77.9345,-77.9313
0.00596,-77.9341,-77.9313
0.00598,-77.9328,-77.9313
0.006,-77.9309,-77.8687
0.00602,-77.9285,-77.9313
0.00604,-77.9259,-77.9
0.00606,-77.9233,-77.9
0.00608,-77.9211,-77.9938
0.0061,-77.9198,-77.9
0.00612,-77.9195,-77.9
0.00614,-77.9204,-78.0251
0.00616,-77.9225,-77.9
0.00618,-77.9258,-77.8687
0.0062,-77.9302,-77.9
0.00622,-77.9353,-77.9313
0.00624,-77.9407,-77.9625
0.00626,-77.946,-77.9625
0.00628,-77.9508,-77.9313
0.0063,-77.9548,-78.0251
0.00632,-77.9576,-77.9313
0.00634,-77.959,-77.9
0.00636,-77.9591,-77.9625
0.00638,-77.958,-77.9625
0.0064,-77.9558,-77.9625
0.00642,-77.9531,-77.9938
0.00644,-77.9502,-77.9313
0.00646,-77.9478,-77.9625
0.00648,-77.9464,-77.9625
0.0065,-77.9463,-77.9
0.00652,-77.948,-77.9625
0.00654,-77.9515,-77.9625
0.00656,-77.9569,-77.9938
0.00658,-77.9639,-77.9313
0.0066,-77.9721,-77.9
0.00662,-77.981,-77.9938
0.00664,-77.9898,-78.0251
0.00666,-77.998,-77.9938
0.00668,-78.0049,-77.9938
0.0067,-78.01,-77.9625
0.00672,-78.0129,-78.0251
0.00674,-78.0135,-78.0877
0.00676,-78.0121,-78.0564
0.00678,-78.0089,-78.0564
0.0068,-78.0043,-77.9625
0.00682,-77.9992,-77.9625
0.00684,-77.994,-77.9313
0.00686,-77.9894,-77.9625
0.00688,-77.986,-77.9938
0.0069,-77.9841,-78.0251
0.00692,-77.9837,-77.9938
0.00694,-77.985,-77.9938
0.00696,-77.9875,-78.0251
0.00698,-77.991,-77.9313
0.007,-77.9949,-77.9313
0.00702,-77.9988,-78.0564
0.00704,-78.0023,-77.9938
0.00706,-78.0051,-78.0251
0.00708,-78.0071,-78.0251
0.0071,-78.008,-78.0564
0.00712,-78.0081,-77.9625
0.00714,-78.0076,-78.0251
0.00716,-78.0068,-78.0251
0.00718,-78.006,-77.9938
0.0072,-78.0054,-77.9625
0.00722,-78.0054,-77.9625
0.00724,-78.0062,-78.0251
0.00726,-78.0077,-78.0251
0.00728,-78.0101,-77.9625
0.0073,-78.0132,-78.0251
0.00732,-78.0168,-78.0251
0.00734,-78.0208,-78.0564
0.00736,-78.0248,-78.119
0.00738,-78.0286,-77.9625
0.0074,-78.0321,-78.0564
0.00742,-78.0351,-77.9938
0.00744,-78.0374,-78.0564
0.00746,-78.0391,-78.0251
0.00748,-78.04,-77.9938
0.0075,-78.0403,-78.0564
0.00752,-78.0399,-78.0877
0.00754,-78.039,-77.9313
0.00756,-78.0375,-78.0251
0.00758,-78.0358,-78.0877
0.0076,-78.0338,-78.0877
0.00762,-78.0319,-78.0564
0.00764,-78.0301,-78.0564
0.00766,-78.0286,-78.0251
0.00768,-78.0275,-77.9938
0.0077,-78.0269,-78.0251
0.00772,-78.0269,-77.9938
0.00774,-78.0273,-77.9938
0.00776,-78.0282,-78.0564
0.00778,-78.0293,-77.9625
0.0078,-78.0305,-78.0564
0.00782,-78.0315,-78.0251
0.00784,-78.0323,-78.0877
0.00786,-78.0326,-78.119
0.00788,-78.0324,-77.9313
0.0079,-78.0317,-78.119
0.00792,-78.0305,-77.9938
0.00794,-78.0293,-77.9625
0.00796,-78.0279,-78.0564
0.00798,-78.0267,-78.0877
0.008,-78.0258,-77.9938
0.00802,-78.0253,-77.9625
0.00804,-78.0252,-77.9938
0.00806,-78.0255,-78.0564
0.00808,-78.0262,-78.0877
0.0081,-78.0268,-78.0251
0.00812,-78.0273,-78.0251
0.00814,-78.0276,-77.9938
0.00816,-78.0274,-78.0251
0.00818,-78.0269,-78.0251
0.0082,-78.026,-77.9938
0.00822,-78.025,-78.0877
0.00824,-78.0241,-78.0251
0.00826,-78.0237,-77.9938
0.00828,-78.0241,-78.0877
0.0083,-78.0256,-78.0564
0.00832,-78.0285,-78.0251
0.00834,-78.0328,-77.9938
0.00836,-78.0384,-77.9938
0.00838,-78.0452,-77.9938
0.0084,-78.0529,-78.0251
0.00842,-78.0609,-78.0564
0.00844,-78.0688,-78.119
0.00846,-78.0762,-78.0877
0.00848,-78.0826,-78.119
0.0085,-78.0879,-78.119
0.00852,-78.0917,-78.119
0.00854,-78.0941,-78.0877
0.00856,-78.0951,-78.0877
0.00858,-78.0951,-78.0877
0.0086,-78.0943,-78.0877
0.00862,-78.0931,-78.0564
0.00864,-78.0916,-78.0877
0.00866,-78.0902,-78.0251
0.00868,-78.0889,-78.0877
0.0087,-78.0879,-78.0564
0.00872,-78.087,-78.1503
0.00874,-78.086,-78.119
0.00876,-78.0849,-78.119
0.00878,-78.0833,-78.119
0.0088,-78.0811,-78.1503
0.00882,-78.0781,-77.9938
0.00884,-78.0744,-78.0251
0.00886,-78.07,-78.0564
0.00888,-78.0651,-78.0251
0.0089,-78.0598,-78.0564
0.00892,-78.0546,-78.0877
0.00894,-78.0496,-78.0251
0.00896,-78.0453,-78.0564
0.00898,-78.0418,-78.0877
0.009,-78.0393,-78.119
0.00902,-78.0379,-78.0564
0.00904,-78.0375,-77.9625
0.00906,-78.038,-77.9938
0.00908,-78.0392,-78.0251
0.0091,-78.0409,-77.9938
0.00912,-78.0428,-78.0564
0.00914,-78.0446,-78.119
0.00916,-78.0459,-78.0251
0.00918,-78.0466,-78.0877
0.0092,-78.0462,-78.0251
0.00922,-78.0447,-78.0251
0.00924,-78.0419,-77.9938
0.00926,-78.0379,-78.0877
0.00928,-78.0328,-78.0564
0.0093,-78.0271,-78.0564
0.00932,-78.021,-77.9938
0.00934,-78.0153,-78.0251
0.00936,-78.0106,-78.0564
0.00938,-78.0072,-77.9625
0.0094,-78.006,-77.9625
0.00942,-78.0068,-78.0251
0.00944,-78.0099,-78.0251
0.00946,-78.0147,-77.9938
0.00948,-78.0206,-78.0564
0.0095,-78.0268,-78.0564
0.00952,-78.0321,-78.0251
0.00954,-78.0355,-78.0564
0.00956,-78.0359,-77.9625
0.00958,-78.033,-77.9938
0.0096,-78.0265,-77.9625
0.00962,-78.0169,-78.0877
0.00964,-78.0054,-77.9625
0.00966,-77.9935,-78.0251
0.00968,-77.9832,-78.0564
0.0097,-77.9765,-78.0564
0.00972,-77.9752,-77.9938
0.00974,-77.9806,-78.0564
0.00976,-77.993,-78.0564
0.00978,-78.0117,-78.0251
0.0098,-78.0347,-77.9313
0.00982,-78.0586,-77.9938
0.00984,-78.079,-77.9313
0.00986,-78.0904,-77.9938
0.00988,-78.0868,-78.0251
0.0099,-78.0625,-77.9938
0.00992,-78.0118,-77.9625
0.00994,-77.9302,-78.0251
0.00996,-77.8146,-77.9938
0.00998,-77.6634,-78.0564
0.01,-77.4769,-78.0877
0.01002,-77.2573,-76.805
0.01004,-77.0081,-76.586
0.01006,-76.7344,-76.6799
0.01008,-76.4417,-76.4296
0.0101,-76.1362,-76.0854
0.01012,-75.8237,-75.7726
0.01014,-75.5096,-75.5536
0.01016,-75.1981,-75.2407
0.01018,-74.8924,-74.9279
0.0102,-74.5945,-74.5838
0.01022,-74.3051,-74.3648
0.01024,-74.024,-73.9893
0.01026,-73.75,-73.8329
0.01028,-73.4817,-73.5201
0.0103,-73.2174,-73.2385
0.01032,-72.9555,-72.9256
0.01034,-72.6948,-72.6441
0.01036,-72.4342,-72.4877
0.01038,-72.1737,-72.1748
0.0104,-71.913,-71.8932
0.01042,-71.6529,-71.6117
0.01044,-71.3941,-71.3927
0.01046,-71.1374,-71.0798
0.01048,-70.8838,-70.8921
0.0105,-70.6341,-70.6105
0.01052,-70.3888,-70.4228
0.01054,-70.1484,-70.2038
0.01056,-69.9129,-69.9223
0.01058,-69.6821,-69.7346
0.0106,-69.4559,-69.4217
0.01062,-69.2338,-69.234
0.01064,-69.0152,-68.9837
0.01066,-68.7995,-68.8273
0.01068,-68.5862,-68.5457
0.0107,-68.3747,-68.358
0.01072,-68.1645,-68.1703
0.01074,-67.955,-67.9826
0.01076,-67.7458,-67.7323
0.01078,-67.5365,-67.5133
0.0108,-67.3268,-67.3256
0.01082,-67.1164,-67.1692
0.01084,-66.9053,-66.9502
0.01086,-66.6933,-66.7312
0.01088,-66.4805,-66.387
0.0109,-66.267,-66.2306
0.01092,-66.0531,-66.1055
0.01094,-65.8389,-65.8552
0.01096,-65.6247,-65.5111
0.01098,-65.4108,-65.4798
0.011,-65.1974,-65.1356
0.01102,-64.9848,-64.9479
0.01104,-64.7732,-64.8228
0.01106,-64.5629,-64.6351
0.01108,-64.354,-64.4161
0.0111,-64.1468,-64.072
0.01112,-63.9417,-63.9468
0.01114,-63.7387,-63.7278
0.01116,-63.5379,-63.6027
0.01118,-63.3396,-63.2273
0.0112,-63.1435,-63.196
0.01122,-62.9496,-62.9457
0.01124,-62.7574,-62.7267
0.01126,-62.5666,-62.6016
0.01128,-62.3767,-62.32
0.0113,-62.187,-62.1323
0.01132,-61.9969,-62.0697
0.01134,-61.8061,-61.7881
0.01136,-61.6142,-61.6317
0.01138,-61.4211,-61.444
0.0114,-61.2268,-61.2563
0.01142,-61.0317,-61.0686
0.01144,-60.8363,-60.787
0.01146,-60.6414,-60.6619
0.01148,-60.4475,-60.4116
0.0115,-60.2556,-60.1926
0.01152,-60.0661,-60.0987
0.01154,-59.8794,-59.911
0.01156,-59.6957,-59.692
0.01158,-59.5149,-59.5356
0.0116,-59.3363,-59.2853
0.01162,-59.1592,-59.1602
0.01164,-58.9827,-58.9725
0.01166,-58.8058,-58.8473
0.01168,-58.6274,-58.6283
0.0117,-58.4468,-58.3781
0.01172,-58.2633,-58.2529
0.01174,-58.0766,-58.1591
0.01176,-57.8869,-57.8775
0.01178,-57.6946,-57.7524
0.0118,-57.5006,-57.4708
0.01182,-57.3058,-57.2518
0.01184,-57.1114,-57.1579
0.01186,-56.9186,-56.9702
0.01188,-56.7286,-56.6887
0.0119,-56.5422,-56.5322
0.01192,-56.3601,-56.282
0.01194,-56.1828,-56.1255
0.01196,-56.0104,-56.0317
0.01198,-55.843,-55.8752
0.012,-55.68,-55.6563
0.01202,-55.5206,-55.625
0.01204,-55.3635,-55.406
0.01206,-55.2069,-55.1557
0.01208,-55.0484,-54.968
0.0121,-54.8856,-54.9367
